transaction_id,timestamp,customer_id,city,product_id,category,price,quantity,total_amount
TXN0000434179,2023-01-01 00:17:13,CUST0012910,Szczecin,PROD002058,Obuwie,83.98,1,83.98
TXN0000429593,2023-01-01 00:57:57,CUST0011309,Wroclaw,PROD002388,Zabawki,69.78,2,139.56
TXN0000489567,2023-01-01 01:26:01,CUST0008884,Olsztyn,PROD004465,Dom_i_Ogrod,86.07,3,258.21
TXN0000459215,2023-01-01 01:54:12,CUST0005858,Warszawa,PROD003542,Zabawki,64.13,1,64.13
TXN0000436740,2023-01-01 02:40:12,CUST0017656,Siedlce,PROD004098,Artykuly_Spozywcze,58.65,5,293.25
TXN0000461276,2023-01-01 04:08:42,CUST0002199,Warszawa,PROD004551,RTV,303.81,1,303.81
TXN0000448234,2023-01-01 04:14:59,CUST0009242,Lodz,PROD004038,Moda_Damska,52.0,3,156.0
TXN0000453770,2023-01-01 04:27:22,CUST0018078,Katowice,PROD004790,Filmy,41.61,1,41.61
TXN0000442745,2023-01-01 05:52:50,CUST0016645,Grudziadz,PROD000747,Moda_Damska,57.5,2,115.0
TXN0000431890,2023-01-01 06:02:12,CUST0005169,Gdansk,PROD002015,Elektronika,255.63,3,766.89
TXN0000418481,2023-01-01 06:19:34,CUST0000832,Warszawa,PROD001946,Ksiazki,17.09,2,34.18
TXN0000457556,2023-01-01 06:36:53,CUST0015128,Gdansk,PROD001056,Dom_i_Ogrod,94.58,1,94.58
TXN0000495085,2023-01-01 06:45:54,CUST0002520,Bielsko-Biala,PROD000428,Zdrowie,41.66,6,249.96
TXN0000497041,2023-01-01 06:48:21,CUST0011766,Warszawa,PROD000745,Filmy,47.46,3,142.38
TXN0000470926,2023-01-01 06:51:24,CUST0006264,Gdansk,PROD002919,Filmy,45.27,2,90.54
TXN0000488783,2023-01-01 06:53:16,CUST0014650,Gorzow Wielkopolski,PROD004680,Uroda,110.27,2,220.54
TXN0000424388,2023-01-01 07:08:34,CUST0019106,Gdynia,PROD004361,Moda_Damska,63.67,1,63.67
TXN0000459785,2023-01-01 07:11:06,CUST0014595,Olsztyn,PROD000895,Moda_Damska,77.97,2,155.94
TXN0000478230,2023-01-01 07:18:26,CUST0009545,Chorzow,PROD003707,Zdrowie,88.79,2,177.58
TXN0000429065,2023-01-01 07:26:29,CUST0013777,Rybnik,PROD003738,Dom_i_Ogrod,58.75,1,58.75
TXN0000407518,2023-01-01 07:32:42,CUST0003520,Warszawa,PROD003740,Zdrowie,51.74,3,155.22
TXN0000472629,2023-01-01 07:39:42,CUST0019768,Krakow,PROD003944,Uroda,79.78,5,398.9
TXN0000412608,2023-01-01 07:50:50,CUST0006052,Warszawa,PROD002279,Moda_Meska,55.52,2,111.04
TXN0000493965,2023-01-01 08:01:24,CUST0005386,Torun,PROD004462,Motoryzacja,237.37,2,474.74
TXN0000451295,2023-01-01 08:06:01,CUST0002523,Slupsk,PROD002966,Sport,162.56,5,812.8
TXN0000402491,2023-01-01 08:07:13,CUST0008371,Lodz,PROD004248,Elektronika,224.5,3,673.5
TXN0000457612,2023-01-01 08:11:18,CUST0014023,Krakow,PROD002618,Ksiazki,27.03,1,27.03
TXN0000427357,2023-01-01 08:31:02,CUST0005408,Krakow,PROD003964,Elektronika,294.56,1,294.56
TXN0000455901,2023-01-01 08:34:22,CUST0010778,Wroclaw,PROD003508,Moda_Damska,68.42,1,68.42
TXN0000411074,2023-01-01 08:39:31,CUST0003289,Wroclaw,PROD001155,RTV,223.22,4,892.88
TXN0000409878,2023-01-01 08:53:16,CUST0011931,Warszawa,PROD002502,Artykuly_Spozywcze,66.02,1,66.02
TXN0000436256,2023-01-01 08:55:40,CUST0018841,Elblag,PROD001235,Moda_Damska,38.16,2,76.32
TXN0000418920,2023-01-01 08:59:21,CUST0011732,Wroclaw,PROD003889,Uroda,115.83,1,115.83
TXN0000455155,2023-01-01 09:00:54,CUST0013982,Gdynia,PROD004954,Artykuly_Spozywcze,35.27,5,176.35
TXN0000409976,2023-01-01 09:06:34,CUST0007666,Chorzow,PROD000453,Komputery,318.62,1,318.62
TXN0000486071,2023-01-01 09:12:16,CUST0011972,Krakow,PROD000637,Uroda,39.35,1,39.35
TXN0000453200,2023-01-01 09:21:35,CUST0001653,Nowy Sacz,PROD000473,RTV,361.76,3,1085.28
TXN0000492828,2023-01-01 09:27:11,CUST0004857,Warszawa,PROD003082,Artykuly_Spozywcze,47.01,2,94.02
TXN0000483763,2023-01-01 09:39:05,CUST0018746,Lodz,PROD002753,Moda_Damska,58.31,4,233.24
TXN0000421165,2023-01-01 09:49:04,CUST0004892,Warszawa,PROD000695,Gry,65.78,1,65.78
TXN0000416101,2023-01-01 10:02:34,CUST0019118,Bydgoszcz,PROD004744,Ksiazki,35.94,1,35.94
