transaction_id,timestamp,customer_id,city,product_id,category,price,quantity,total_amount
TXN0000077275,2023-01-01 00:35:30,CUST0003778,Warszawa,PROD004174,Artykuly_Spozywcze,30.23,2,60.46
TXN0000001975,2023-01-01 01:16:48,CUST0017124,Warszawa,PROD001943,Elektronika,318.12,1,318.12
TXN0000057581,2023-01-01 01:54:58,CUST0010032,Krakow,PROD001245,Zabawki,59.1,5,295.5
TXN0000072149,2023-01-01 03:02:28,CUST0013656,Radom,PROD001143,Zabawki,101.4,2,202.8
TXN0000019668,2023-01-01 04:18:18,CUST0016922,Warszawa,PROD000746,Smartfony,426.73,2,853.46
TXN0000051808,2023-01-01 04:43:18,CUST0003968,Bydgoszcz,PROD000049,Sport,81.24,10,812.4
TXN0000045899,2023-01-01 04:52:31,CUST0015903,Gliwice,PROD000545,Gry,77.05,3,231.15
TXN0000060574,2023-01-01 05:08:54,CUST0018464,Wroclaw,PROD002331,Ksiazki,41.56,5,207.8
TXN0000003551,2023-01-01 05:14:34,CUST0003712,Grudziadz,PROD000425,Artykuly_Spozywcze,37.0,2,74.0
TXN0000038245,2023-01-01 06:19:32,CUST0002372,Poznan,PROD004612,Smartfony,452.56,2,905.12
TXN0000007676,2023-01-01 06:44:11,CUST0009526,Krakow,PROD000078,Gry,137.92,1,137.92
TXN0000021273,2023-01-01 07:13:52,CUST0013250,Lodz,PROD004787,RTV,373.36,1,373.36
TXN0000076856,2023-01-01 07:21:00,CUST0006146,Walbrzych,PROD003255,Smartfony,434.93,2,869.86
TXN0000016158,2023-01-01 07:26:00,CUST0005266,Rybnik,PROD002552,Smartfony,404.98,1,404.98
TXN0000036850,2023-01-01 07:44:33,CUST0005227,Warszawa,PROD002093,Zabawki,30.66,1,30.66
TXN0000065117,2023-01-01 07:58:20,CUST0011822,Warszawa,PROD003943,AGD,257.16,1,257.16
TXN0000076496,2023-01-01 08:08:19,CUST0012207,Wroclaw,PROD002793,Moda_Meska,82.81,3,248.43
TXN0000036794,2023-01-01 08:09:55,CUST0010439,Wroclaw,PROD002883,Motoryzacja,126.25,2,252.5
TXN0000030910,2023-01-01 08:10:51,CUST0017271,Gdynia,PROD001996,Komputery,413.18,4,1652.72
TXN0000093579,2023-01-01 08:17:48,CUST0001326,Sosnowiec,PROD004211,Zabawki,47.13,6,282.78
TXN0000000755,2023-01-01 08:23:13,CUST0004301,Nowy Sacz,PROD003291,Muzyka,59.33,2,118.66
TXN0000023304,2023-01-01 08:28:55,CUST0005148,Gdansk,PROD003595,Zdrowie,48.64,2,97.28
TXN0000037036,2023-01-01 08:34:03,CUST0007817,Wroclaw,PROD000563,Ksiazki,16.58,2,33.16
TXN0000020634,2023-01-01 08:35:53,CUST0001364,Krakow,PROD000433,Artykuly_Spozywcze,56.14,2,112.28
TXN0000087491,2023-01-01 08:48:23,CUST0006042,Dabrowa Gornicza,PROD001497,Sport,109.12,4,436.48
TXN0000077849,2023-01-01 09:08:50,CUST0018128,Gdansk,PROD000039,Zwierzeta,109.06,3,327.18
TXN0000082027,2023-01-01 09:36:51,CUST0004686,Wroclaw,PROD001983,Gry,96.47,1,96.47
TXN0000097317,2023-01-01 10:07:06,CUST0018321,Warszawa,PROD001942,Komputery,312.91,1,312.91
TXN0000017679,2023-01-01 10:09:00,CUST0001629,Gdansk,PROD004402,Gry,83.34,2,166.68
TXN0000022787,2023-01-01 10:17:54,CUST0018262,Lodz,PROD002877,Komputery,314.66,1,314.66
TXN0000011429,2023-01-01 10:20:27,CUST0015950,Poznan,PROD003259,Moda_Meska,159.87,5,799.35
TXN0000082957,2023-01-01 10:23:51,CUST0005037,Lublin,PROD000916,Artykuly_Spozywcze,48.54,3,145.62
TXN0000027948,2023-01-01 10:36:02,CUST0013482,Bielsko-Biala,PROD000694,Muzyka,42.03,1,42.03
TXN0000017056,2023-01-01 10:38:09,CUST0000795,Wroclaw,PROD004635,Elektronika,223.87,3,671.61
TXN0000051986,2023-01-01 10:39:16,CUST0002902,Radom,PROD004039,Ksiazki,16.84,5,84.2
TXN0000003047,2023-01-01 10:44:51,CUST0019029,Warszawa,PROD002095,AGD,217.48,2,434.96
TXN0000057649,2023-01-01 10:46:10,CUST0009452,Poznan,PROD002629,Filmy,36.83,4,147.32
TXN0000005169,2023-01-01 11:01:36,CUST0012962,Bialystok,PROD002196,Komputery,341.41,2,682.82
TXN0000021368,2023-01-01 11:12:50,CUST0006334,Szczecin,PROD004328,Uroda,63.51,5,317.55
TXN0000066615,2023-01-01 11:17:33,CUST0011753,Legnica,PROD000391,Smartfony,414.88,3,1244.64
TXN0000061214,2023-01-01 11:26:20,CUST0011673,Wroclaw,PROD000627,Muzyka,37.06,3,111.18
TXN0000015977,2023-01-01 11:36:40,CUST0017396,Bialystok,PROD003845,Zabawki,64.92,1,64.92
TXN0000021129,2023-01-01 11:48:01,CUST0003436,Wroclaw,PROD004308,Elektronika,286.35,1,286.35
TXN0000029158,2023-01-01 11:48:59,CUST0005107,Krakow,PROD000426,Elektronika,270.55,3,811.65
TXN0000042362,2023-01-01 12:41:48,CUST0018239,Walbrzych,PROD003404,Elektronika,283.93,7,1987.51
TXN0000066012,2023-01-01 12:45:35,CUST0009323,Rzeszow,PROD002451,Zabawki,74.35,1,74.35
TXN0000041362,2023-01-01 13:02:17,CUST0013598,Lodz,PROD004846,Motoryzacja,105.61,2,211.22
TXN0000063143,2023-01-01 13:12:11,CUST0015575,Szczecin,PROD004384,Elektronika,246.32,4,985.28
TXN0000038794,2023-01-01 13:20:07,CUST0013254,Wroclaw,PROD000084,Moda_Damska,49.62,2,99.24
TXN0000054275,2023-01-01 13:31:22,CUST0000434,Wroclaw,PROD001279,Zwierzeta,67.36,1,67.36
TXN0000006871,2023-01-01 13:36:08,CUST0019074,Ostrow Wielkopolski,PROD001937,Dom_i_Ogrod,88.48,1,88.48
TXN0000070531,2023-01-01 13:46:05,CUST0015103,Krakow,PROD001812,Gry,120.28,2,240.56
TXN0000006362,2023-01-01 14:14:19,CUST0017501,Wroclaw,PROD003943,Moda_Damska,94.91,10,949.1
TXN0000090436,2023-01-01 14:17:44,CUST0005173,Wloclawek,PROD001785,Smartfony,430.48,2,860.96
TXN0000060143,2023-01-01 14:25:21,CUST0013136,Torun,PROD003471,Artykuly_Spozywcze,21.52,4,86.08
TXN0000068353,2023-01-01 14:57:14,CUST0015559,Koszalin,PROD004619,Obuwie,80.05,3,240.15
TXN0000091714,2023-01-01 14:57:18,CUST0017171,Poznan,PROD001855,Moda_Meska,56.53,3,169.59
TXN0000053534,2023-01-01 15:02:23,CUST0003656,Bialystok,PROD002724,Moda_Meska,71.82,1,71.82
TXN0000003246,2023-01-01 15:14:32,CUST0013352,Siedlce,PROD003205,Filmy,54.43,1,54.43
TXN0000060960,2023-01-01 15:17:27,CUST0007285,Wroclaw,PROD001192,Moda_Damska,112.18,3,336.54
TXN0000068235,2023-01-01 15:20:14,CUST0016292,Wroclaw,PROD002270,Artykuly_Spozywcze,39.24,4,156.96
TXN0000020241,2023-01-01 15:27:06,CUST0019095,Jaworzno,PROD004380,Elektronika,213.81,2,427.62
TXN0000080415,2023-01-01 15:44:17,CUST0018189,Gdansk,PROD000530,Muzyka,51.95,1,51.95
TXN0000024608,2023-01-01 15:44:46,CUST0017536,Krakow,PROD003942,AGD,181.27,7,1268.89
TXN0000011227,2023-01-01 15:53:44,CUST0013881,Lodz,PROD002505,Uroda,74.82,4,299.28
TXN0000006613,2023-01-01 16:10:07,CUST0009051,Lublin,PROD003303,Smartfony,433.3,2,866.6
TXN0000028891,2023-01-01 16:13:21,CUST0010884,Warszawa,PROD003556,Filmy,37.04,2,74.08
TXN0000037636,2023-01-01 16:28:23,CUST0019633,Lodz,PROD000512,Elektronika,215.55,2,431.1
TXN0000077599,2023-01-01 16:28:30,CUST0018138,Koszalin,PROD003317,Ksiazki,25.51,3,76.53
TXN0000075094,2023-01-01 16:31:48,CUST0001513,Olsztyn,PROD004823,Ksiazki,25.98,1,25.98
TXN0000000979,2023-01-01 16:32:12,CUST0019643,Bielsko-Biala,PROD004577,Elektronika,303.53,2,607.06
TXN0000051833,2023-01-01 16:36:57,CUST0019978,Krakow,PROD001815,Sport,208.9,1,208.9
TXN0000016523,2023-01-01 17:00:31,CUST0011629,Wloclawek,PROD004507,Moda_Meska,72.35,1,72.35
TXN0000070859,2023-01-01 17:02:45,CUST0005419,Siedlce,PROD000294,Motoryzacja,169.85,2,339.7
TXN0000074837,2023-01-01 17:05:05,CUST0018557,Poznan,PROD002954,RTV,277.3,2,554.6
TXN0000088306,2023-01-01 17:07:45,CUST0015941,Krakow,PROD004091,Obuwie,109.72,2,219.44
TXN0000041498,2023-01-01 17:10:26,CUST0017872,Tarnow,PROD002954,Gry,89.21,5,446.05
TXN0000022986,2023-01-01 17:12:00,CUST0005980,Jastrzebie-Zdroj,PROD003058,AGD,277.8,2,555.6
TXN0000094401,2023-01-01 17:13:30,CUST0001811,Poznan,PROD001592,Ksiazki,17.94,1,17.94
TXN0000002032,2023-01-01 17:18:20,CUST0001007,Rzeszow,PROD002711,Muzyka,62.26,3,186.78
TXN0000069263,2023-01-01 17:21:34,CUST0002084,Torun,PROD002875,Komputery,350.12,2,700.24
TXN0000011113,2023-01-01 17:37:55,CUST0012208,Krakow,PROD002292,Zwierzeta,85.04,3,255.12
TXN0000022182,2023-01-01 17:55:18,CUST0016863,Katowice,PROD002997,Artykuly_Spozywcze,15.18,2,30.36
TXN0000070137,2023-01-01 17:55:23,CUST0014853,Warszawa,PROD002152,Zabawki,57.42,4,229.68
TXN0000082776,2023-01-01 18:17:06,CUST0009454,Szczecin,PROD000047,Uroda,51.22,1,51.22
TXN0000012285,2023-01-01 18:29:32,CUST0006971,Gdansk,PROD002797,Uroda,39.1,1,39.1
TXN0000062233,2023-01-01 18:37:20,CUST0017688,Warszawa,PROD000317,Zdrowie,25.57,2,51.14
TXN0000030470,2023-01-01 18:37:54,CUST0007653,Warszawa,PROD004775,Artykuly_Spozywcze,62.05,2,124.1
TXN0000080583,2023-01-01 18:49:04,CUST0017335,Kielce,PROD001823,Uroda,39.53,3,118.59
TXN0000048555,2023-01-01 18:50:44,CUST0003134,Myslowice,PROD000515,Komputery,353.08,2,706.16
TXN0000056596,2023-01-01 18:54:44,CUST0019967,Katowice,PROD004848,AGD,269.17,5,1345.85
TXN0000078403,2023-01-01 18:56:20,CUST0014794,Warszawa,PROD000243,Gry,99.14,1,99.14
TXN0000066467,2023-01-01 18:57:32,CUST0008692,Poznan,PROD000901,Ksiazki,22.03,1,22.03
TXN0000077337,2023-01-01 19:08:24,CUST0016139,Szczecin,PROD000423,Obuwie,102.69,2,205.38
TXN0000008111,2023-01-01 19:09:39,CUST0007111,Gdansk,PROD002249,RTV,236.47,4,945.88
TXN0000006557,2023-01-01 19:10:08,CUST0002755,Opole,PROD001412,Dom_i_Ogrod,109.49,1,109.49
TXN0000090776,2023-01-01 19:15:19,CUST0011460,Warszawa,PROD001877,Gry,65.37,2,130.74
TXN0000074612,2023-01-01 19:18:04,CUST0015590,Bydgoszcz,PROD003229,Moda_Meska,57.01,3,171.03
TXN0000000648,2023-01-01 19:21:03,CUST0003957,Wroclaw,PROD001790,Smartfony,417.37,1,417.37
TXN0000056987,2023-01-01 19:21:16,CUST0009597,Wroclaw,PROD004160,Moda_Meska,47.7,2,95.4
TXN0000046857,2023-01-01 19:23:55,CUST0009018,Lubin,PROD002493,Komputery,390.68,1,390.68
TXN0000030095,2023-01-01 19:42:48,CUST0018466,Poznan,PROD002470,AGD,190.23,2,380.46
TXN0000017498,2023-01-01 19:45:42,CUST0009987,Zielona Gora,PROD000471,Elektronika,246.88,1,246.88
TXN0000034494,2023-01-01 19:46:07,CUST0009438,Gdynia,PROD002164,Moda_Meska,118.57,3,355.71
TXN0000095098,2023-01-01 19:46:44,CUST0013240,Bielsko-Biala,PROD001307,Sport,145.18,1,145.18
TXN0000001137,2023-01-01 19:47:50,CUST0005922,Szczecin,PROD004167,Sport,179.63,5,898.15
TXN0000067796,2023-01-01 19:54:02,CUST0011045,Myslowice,PROD004782,Obuwie,137.71,1,137.71
TXN0000063439,2023-01-01 19:56:14,CUST0008122,Warszawa,PROD000615,Zabawki,45.45,3,136.35
TXN0000025476,2023-01-01 19:57:07,CUST0003081,Gdansk,PROD000525,Uroda,117.17,2,234.34
TXN0000054749,2023-01-01 20:02:45,CUST0015791,Gorzow Wielkopolski,PROD003023,Moda_Meska,133.32,1,133.32
TXN0000004157,2023-01-01 20:19:17,CUST0006240,Rybnik,PROD000501,Moda_Damska,86.75,1,86.75
